threshold_C,precision,recall,f1
45.67,0.6462676529926026,0.9816138917262512,0.7793998377939982
45.71,0.6471380471380471,0.9816138917262512,0.7800324675324676
45.72,0.6469002695417789,0.9805924412665986,0.7795371498172958
45.73,0.6464237516869096,0.9785495403472931,0.7785453067858593
45.77,0.6468602295746118,0.9785495403472931,0.7788617886178862
45.79,0.6472972972972973,0.9785495403472931,0.7791785278568524
45.83,0.6474966170500677,0.9775280898876404,0.7789987789987789
45.86,0.6479350033852403,0.9775280898876404,0.7793159609120521
45.89,0.6483739837398373,0.9775280898876404,0.7796334012219958
45.9,0.6488135593220339,0.9775280898876404,0.7799511002444988
45.91,0.6492537313432836,0.9775280898876404,0.780269058295964
45.92,0.6496945010183299,0.9775280898876404,0.7805872756933115
45.95,0.6501358695652174,0.9775280898876404,0.780905752753978
45.97,0.6503401360544218,0.9765066394279878,0.7807268272764395
46.09,0.6501021102791015,0.975485188968335,0.7802287581699346
46.1,0.6498637602179836,0.9744637385086823,0.7797302819779323
46.12,0.6503067484662577,0.9744637385086823,0.7800490596892887
46.14,0.6505119453924915,0.9734422880490297,0.7798690671031097
46.15,0.6509562841530054,0.9734422880490297,0.7801882930822759
46.19,0.6514012303485988,0.9734422880490297,0.7805077805077805
46.2,0.6522929500342232,0.9734422880490297,0.7811475409836065
46.21,0.6527397260273973,0.9734422880490297,0.7814678146781467
46.22,0.6540837336993823,0.9734422880490297,0.7824302134646962
46.23,0.654532967032967,0.9734422880490297,0.7827515400410677
46.24,0.6545079146593256,0.9713993871297242,0.7820723684210527
46.25,0.6549586776859504,0.9713993871297242,0.7823940765117235
46.28,0.6547208821502413,0.9703779366700716,0.7818930041152264
46.29,0.6544827586206896,0.9693564862104188,0.7813915191436804
46.32,0.6544574982722875,0.9673135852911133,0.7807089859851607
46.33,0.6549100968188105,0.9673135852911133,0.7810309278350516
46.35,0.6544321329639889,0.965270684371808,0.7800247626908791
46.36,0.6553398058252428,0.965270684371808,0.7806691449814128
46.38,0.6551006245662734,0.9642492339121552,0.7801652892561984
46.39,0.655316191799861,0.9632277834525026,0.7799834574028122
46.41,0.6555323590814196,0.9622063329928499,0.7798013245033112
46.42,0.6552924791086351,0.9611848825331971,0.779296066252588
46.46,0.6548117154811716,0.9591419816138917,0.778284293410692
46.47,0.6552686671318911,0.9591419816138917,0.7786069651741294
46.48,0.6552447552447552,0.9570990806945863,0.7779161477791615
46.53,0.655703289013296,0.9570990806945863,0.7782392026578072
46.55,0.6554621848739496,0.9560776302349336,0.777731616119651
46.57,0.6552207428170989,0.9550561797752809,0.7772236076475478
46.58,0.656140350877193,0.9550561797752809,0.7778702163061564
46.59,0.6566011235955056,0.9550561797752809,0.77819392426134
46.6,0.657062543921293,0.9550561797752809,0.7785179017485429
46.61,0.6589147286821705,0.9550561797752809,0.7798165137614679
46.62,0.6586741889985895,0.9540347293156282,0.7793074676679183
46.65,0.6579505300353357,0.95097037793667,0.7777777777777777
46.68,0.6584158415841584,0.95097037793667,0.7781027998328459
46.71,0.6586402266288952,0.9499489274770173,0.7779171894604767
46.72,0.6591070163004961,0.9499489274770173,0.7782426778242677
46.73,0.6595744680851063,0.9499489274770173,0.7785684386772708
46.74,0.6598011363636364,0.9489274770173647,0.7783829074151655
46.79,0.660270078180526,0.9489274770173647,0.7787091366303436
46.83,0.6607396870554765,0.9489274770173647,0.7790356394129979
46.84,0.6609686609686609,0.947906026557712,0.7788501888375997
46.86,0.6614397719173201,0.947906026557712,0.7791771620486986
46.88,0.6626161543959972,0.9468845760980592,0.7796467619848612
46.9,0.6623748211731044,0.9458631256384066,0.7791333613798906
46.92,0.6621331424481031,0.9448416751787538,0.7786195286195285
46.93,0.6626074498567335,0.9448416751787538,0.7789473684210526
46.94,0.6623655913978495,0.9438202247191011,0.7784330244313397
46.96,0.6628407460545194,0.9438202247191011,0.7787610619469028
46.97,0.6625987078248384,0.9427987742594485,0.7782462057335582
46.98,0.6635514018691588,0.9427987742594485,0.7789029535864979
46.99,0.6630669546436285,0.940755873340143,0.7778716216216216
47.01,0.6633020908435472,0.9397344228804902,0.7776838546069315
47.02,0.663059163059163,0.9387129724208376,0.7771670190274842
