threshold_C,precision,recall,f1,accuracy,tp,fp,fn,tn
46.46,0.6548117154811716,0.9591419816138917,0.778284293410692,0.6577095329494562,939,495,40,89
46.47,0.6552686671318911,0.9591419816138917,0.7786069651741294,0.6583493282149712,939,494,40,90
46.48,0.6552447552447552,0.9570990806945863,0.7779161477791615,0.6577095329494562,937,493,42,91
46.53,0.655703289013296,0.9570990806945863,0.7782392026578072,0.6583493282149712,937,492,42,92
46.55,0.6554621848739496,0.9560776302349336,0.777731616119651,0.6577095329494562,936,492,43,92
46.57,0.6552207428170989,0.9550561797752809,0.7772236076475478,0.6570697376839412,935,492,44,92
46.58,0.656140350877193,0.9550561797752809,0.7778702163061564,0.6583493282149712,935,490,44,94
46.59,0.6566011235955056,0.9550561797752809,0.77819392426134,0.6589891234804862,935,489,44,95
46.6,0.657062543921293,0.9550561797752809,0.7785179017485429,0.6596289187460013,935,488,44,96
46.61,0.6589147286821705,0.9550561797752809,0.7798165137614679,0.6621880998080614,935,484,44,100
46.62,0.6586741889985895,0.9540347293156282,0.7793074676679183,0.6615483045425464,934,484,45,100
46.65,0.6579505300353357,0.95097037793667,0.7777777777777777,0.6596289187460013,931,484,48,100
46.68,0.6584158415841584,0.95097037793667,0.7781027998328459,0.6602687140115163,931,483,48,101
46.71,0.6586402266288952,0.9499489274770173,0.7779171894604767,0.6602687140115163,930,482,49,102
46.72,0.6591070163004961,0.9499489274770173,0.7782426778242677,0.6609085092770314,930,481,49,103
46.73,0.6595744680851063,0.9499489274770173,0.7785684386772708,0.6615483045425464,930,480,49,104
46.74,0.6598011363636364,0.9489274770173647,0.7783829074151655,0.6615483045425464,929,479,50,105
46.79,0.660270078180526,0.9489274770173647,0.7787091366303436,0.6621880998080614,929,478,50,106
46.83,0.6607396870554765,0.9489274770173647,0.7790356394129979,0.6628278950735764,929,477,50,107
46.84,0.6609686609686609,0.947906026557712,0.7788501888375997,0.6628278950735764,928,476,51,108
46.86,0.6614397719173201,0.947906026557712,0.7791771620486986,0.6634676903390915,928,475,51,109
46.88,0.6626161543959972,0.9468845760980592,0.7796467619848612,0.6647472808701216,927,472,52,112
46.9,0.6623748211731044,0.9458631256384066,0.7791333613798906,0.6641074856046065,926,472,53,112
46.92,0.6621331424481031,0.9448416751787538,0.7786195286195285,0.6634676903390915,925,472,54,112
46.93,0.6626074498567335,0.9448416751787538,0.7789473684210526,0.6641074856046065,925,471,54,113
46.94,0.6623655913978495,0.9438202247191011,0.7784330244313397,0.6634676903390915,924,471,55,113
46.96,0.6628407460545194,0.9438202247191011,0.7787610619469028,0.6641074856046065,924,470,55,114
46.97,0.6625987078248384,0.9427987742594485,0.7782462057335582,0.6634676903390915,923,470,56,114
46.98,0.6635514018691588,0.9427987742594485,0.7789029535864979,0.6647472808701216,923,468,56,116
46.99,0.6630669546436285,0.940755873340143,0.7778716216216216,0.6634676903390915,921,468,58,116
47.01,0.6633020908435472,0.9397344228804902,0.7776838546069315,0.6634676903390915,920,467,59,117
47.02,0.663059163059163,0.9387129724208376,0.7771670190274842,0.6628278950735764,919,467,60,117
47.04,0.6640173410404624,0.9387129724208376,0.777824798984342,0.6641074856046065,919,465,60,119
47.05,0.6642547033285094,0.9376915219611849,0.7776365946632783,0.6641074856046065,918,464,61,120
47.06,0.6644927536231884,0.9366700715015321,0.7774480712166171,0.6641074856046065,917,463,62,121
47.09,0.6659404502541757,0.9366700715015321,0.7784380305602716,0.6660268714011516,917,460,62,124
47.12,0.6664244186046512,0.9366700715015321,0.7787685774946922,0.6666666666666666,917,459,62,125
47.15,0.6661818181818182,0.9356486210418795,0.778249787595582,0.6660268714011516,916,459,63,125
47.16,0.6664238892935178,0.9346271705822268,0.7780612244897959,0.6660268714011516,915,458,64,126
47.18,0.6666666666666666,0.933605720122574,0.777872340425532,0.6660268714011516,914,457,65,127
47.19,0.6669101533966398,0.9325842696629213,0.7776831345826235,0.6660268714011516,913,456,66,128
47.21,0.6666666666666666,0.9315628192032687,0.7771623348956114,0.6653870761356366,912,456,67,128
47.23,0.6664228237015362,0.9305413687436159,0.7766410912190963,0.6647472808701216,911,456,68,128
47.24,0.6669106881405563,0.9305413687436159,0.7769722814498935,0.6653870761356366,911,455,68,129
47.25,0.6661775495231108,0.9274770173646578,0.7754056362083689,0.6634676903390915,908,455,71,129
47.26,0.6659324522760646,0.9264555669050051,0.7748825288338316,0.6628278950735764,907,455,72,129
47.28,0.6664217487141807,0.9264555669050051,0.7752136752136752,0.6634676903390915,907,454,72,130
47.29,0.6669117647058823,0.9264555669050051,0.7755451047456178,0.6641074856046065,907,453,72,131
47.33,0.6666666666666666,0.9254341164453525,0.7750213857998289,0.6634676903390915,906,453,73,131
47.35,0.665929203539823,0.9223697650663942,0.7734475374732334,0.6615483045425464,903,453,76,131
47.37,0.666420664206642,0.9223697650663942,0.7737789203084833,0.6621880998080614,903,452,76,132
47.38,0.6666666666666666,0.9213483146067416,0.7735849056603773,0.6621880998080614,902,451,77,133
47.4,0.6664201183431953,0.9203268641470889,0.773058773058773,0.6615483045425464,901,451,78,133
47.41,0.6669133974833457,0.9203268641470889,0.7733905579399142,0.6621880998080614,901,450,78,134
47.42,0.6666666666666666,0.9193054136874361,0.77286389008158,0.6615483045425464,900,450,79,134
47.43,0.6671608598962194,0.9193054136874361,0.7731958762886598,0.6621880998080614,900,449,79,135
47.45,0.6686478454680534,0.9193054136874361,0.7741935483870968,0.6641074856046065,900,446,79,138
47.46,0.6691449814126395,0.9193054136874361,0.774526678141136,0.6647472808701216,900,445,79,139
47.47,0.6696428571428571,0.9193054136874361,0.7748600947051227,0.6653870761356366,900,444,79,140
