threshold_ddg_kcal_mol,precision,recall,f1,accuracy,tp,fp,fn,tn
1.2082390224012192,0.3059548254620123,0.8869047619047619,0.4549618320610686,0.4663677130044843,149,338,19,163
1.2056631487847491,0.3065843621399177,0.8869047619047619,0.4556574923547401,0.46786248131539604,149,337,19,164
1.1823663951609198,0.30721649484536084,0.8869047619047619,0.45635528330781017,0.4693572496263079,149,336,19,165
1.180728807276981,0.30785123966942146,0.8869047619047619,0.4570552147239263,0.47085201793721976,149,335,19,166
1.178777705385297,0.3084886128364389,0.8869047619047619,0.45775729646697383,0.47234678624813153,149,334,19,167
1.1756051223269222,0.3091286307053942,0.8869047619047619,0.45846153846153853,0.4738415545590434,149,333,19,168
1.1716636907621434,0.3097713097713098,0.8869047619047619,0.45916795069337446,0.47533632286995514,149,332,19,169
1.164582270831313,0.3104166666666667,0.8869047619047619,0.45987654320987653,0.476831091180867,149,331,19,170
1.1625327258509481,0.31106471816283926,0.8869047619047619,0.4605873261205564,0.47832585949177875,149,330,19,171
1.1594246783703024,0.30962343096234307,0.8809523809523809,0.45820433436532504,0.476831091180867,148,330,20,171
1.1497412708471144,0.31027253668763105,0.8809523809523809,0.45891472868217054,0.47832585949177886,148,329,20,172
1.1492009001739645,0.31092436974789917,0.8809523809523809,0.4596273291925466,0.4798206278026907,148,328,20,173
1.1489908117837113,0.31157894736842107,0.8809523809523809,0.4603421461897356,0.4813153961136024,148,327,20,174
1.1399900279476531,0.310126582278481,0.875,0.4579439252336449,0.4798206278026905,147,327,21,174
1.1374966555613633,0.3107822410147992,0.875,0.4586583463338534,0.4813153961136024,147,326,21,175
1.1371335163044811,0.3093220338983051,0.8690476190476191,0.45625,0.4798206278026907,146,326,22,175
1.1348846837307967,0.3099787685774947,0.8690476190476191,0.45696400625978095,0.4813153961136024,146,325,22,176
1.130780835119759,0.31063829787234043,0.8690476190476191,0.457680250783699,0.4828101644245142,146,324,22,177
1.1302087564586216,0.3091684434968017,0.8630952380952381,0.4552590266875982,0.4813153961136024,145,324,23,177
1.1283878872768056,0.30982905982905984,0.8630952380952381,0.4559748427672956,0.4828101644245143,145,323,23,178
1.1250603811393114,0.31049250535331907,0.8630952380952381,0.45669291338582674,0.4843049327354261,145,322,23,179
1.1191396560093028,0.3111587982832618,0.8630952380952381,0.45741324921135657,0.4857997010463378,145,321,23,180
1.115922725000573,0.3118279569892473,0.8630952380952381,0.45813586097946296,0.4872944693572495,145,320,23,181
1.1143195327872994,0.3125,0.8630952380952381,0.4588607594936709,0.48878923766816146,145,319,23,182
1.1133895670119056,0.31317494600431967,0.8630952380952381,0.4595879556259906,0.49028400597907323,145,318,23,183
1.1064397444135723,0.3116883116883117,0.8571428571428571,0.45714285714285713,0.48878923766816146,144,318,24,183
1.1046178346080575,0.3123644251626898,0.8571428571428571,0.4578696343402226,0.49028400597907323,144,317,24,184
1.1012818097688797,0.3130434782608696,0.8571428571428571,0.4585987261146497,0.49177877428998507,144,316,24,185
1.0977220104115442,0.3115468409586057,0.8511904761904762,0.456140350877193,0.49028400597907335,143,316,25,185
1.0966625229529623,0.31004366812227074,0.8452380952380952,0.45367412140575075,0.48878923766816146,142,316,26,185
1.0924091027049858,0.31072210065645517,0.8452380952380952,0.4544,0.49028400597907323,142,315,26,186
1.0897708457853694,0.3092105263157895,0.8392857142857143,0.4519230769230769,0.48878923766816146,141,315,27,186
1.0883016584327592,0.3076923076923077,0.8333333333333334,0.4494382022471911,0.4872944693572496,140,315,28,186
1.0811382888730736,0.30837004405286345,0.8333333333333334,0.45016077170418,0.48878923766816146,140,314,28,187
1.073604872436126,0.3090507726269316,0.8333333333333334,0.45088566827697274,0.49028400597907323,140,313,28,188
1.0713898829293675,0.30973451327433627,0.8333333333333334,0.45161290322580644,0.49177877428998507,140,312,28,189
1.070485731068205,0.31042128603104213,0.8333333333333334,0.4523424878836834,0.49327354260089684,140,311,28,190
1.0665023143236252,0.3111111111111111,0.8333333333333334,0.45307443365695804,0.4947683109118087,140,310,28,191
1.066459421443598,0.311804008908686,0.8333333333333334,0.45380875202593196,0.49626307922272056,140,309,28,192
1.0649130571388554,0.31026785714285715,0.8273809523809523,0.45129870129870125,0.49476831091180873,139,309,29,192
1.0540850810889741,0.31096196868008946,0.8273809523809523,0.45203252032520325,0.4962630792227205,139,308,29,193
1.0540169606011418,0.3094170403587444,0.8214285714285714,0.4495114006514658,0.4947683109118087,138,308,30,193
1.053168931849853,0.30786516853932583,0.8154761904761905,0.44698205546492653,0.49327354260089684,137,308,31,193
1.0504230091868922,0.30855855855855857,0.8154761904761905,0.44771241830065356,0.49476831091180873,137,307,31,194
1.0404144752144442,0.309255079006772,0.8154761904761905,0.4484451718494271,0.4962630792227205,137,306,31,195
1.0391126824865482,0.30995475113122173,0.8154761904761905,0.4491803278688524,0.4977578475336323,137,305,31,196
1.038114628570969,0.31065759637188206,0.8154761904761905,0.4499178981937602,0.4992526158445441,137,304,31,197
1.0347180532833005,0.31136363636363634,0.8154761904761905,0.4506578947368421,0.5007473841554558,137,303,31,198
1.0333636861945228,0.3120728929384966,0.8154761904761905,0.45140032948929165,0.5022421524663677,137,302,31,199
1.0304960637498708,0.3105022831050228,0.8095238095238095,0.44884488448844884,0.5007473841554559,136,302,32,199
1.0180847554529486,0.3112128146453089,0.8095238095238095,0.44958677685950404,0.5022421524663677,136,301,32,200
1.0141800579056104,0.3119266055045872,0.8095238095238095,0.45033112582781454,0.5037369207772795,136,300,32,201
1.0102883227402875,0.31264367816091954,0.8095238095238095,0.451077943615257,0.5052316890881914,136,299,32,202
1.006216400063319,0.31336405529953915,0.8095238095238095,0.45182724252491696,0.506726457399103,136,298,32,203
1.0061847780759807,0.3117782909930716,0.8035714285714286,0.44925124792013316,0.5052316890881913,135,298,33,203
1.0021077301431136,0.3125,0.8035714285714286,0.45,0.5067264573991032,135,297,33,204
0.9996484897279884,0.3109048723897912,0.7976190476190477,0.4474123539232054,0.5052316890881914,134,297,34,204
0.9981933497516459,0.3116279069767442,0.7976190476190477,0.44816053511705684,0.5067264573991032,134,296,34,205
0.9962603439456762,0.3123543123543124,0.7976190476190477,0.44891122278056955,0.508221225710015,134,295,34,206
0.9939323773036172,0.3130841121495327,0.7976190476190477,0.44966442953020136,0.5097159940209267,134,294,34,207
0.9937738594584271,0.3114754098360656,0.7916666666666666,0.4470588235294118,0.508221225710015,133,294,35,207
0.9843207140620582,0.30985915492957744,0.7857142857142857,0.4444444444444445,0.5067264573991032,132,294,36,207
0.9828731598121659,0.31058823529411766,0.7857142857142857,0.4451939291736931,0.5082212257100149,132,293,36,208
0.9827452465284319,0.3113207547169811,0.7857142857142857,0.44594594594594594,0.5097159940209267,132,292,36,209
0.9817044957974987,0.3120567375886525,0.7857142857142857,0.44670050761421326,0.5112107623318386,132,291,36,210
0.9784026797188555,0.3104265402843602,0.7797619047619048,0.4440677966101695,0.5097159940209267,131,291,37,210
0.9779851620947295,0.31116389548693585,0.7797619047619048,0.4448217317487266,0.5112107623318385,131,290,37,211
0.9762048113802141,0.3119047619047619,0.7797619047619048,0.44557823129251695,0.5127055306427504,131,289,37,212
0.9759446179903225,0.3126491646778043,0.7797619047619048,0.44633730834752977,0.5142002989536621,131,288,37,213
0.9752716608922286,0.3133971291866029,0.7797619047619048,0.4470989761092151,0.515695067264574,131,287,37,214
0.9740801610698288,0.3117505995203837,0.7738095238095238,0.4444444444444445,0.5142002989536623,130,287,38,214
0.9684676386107207,0.3125,0.7738095238095238,0.44520547945205485,0.515695067264574,130,286,38,215
0.9668968498289853,0.3132530120481928,0.7738095238095238,0.44596912521440824,0.5171898355754858,130,285,38,216
0.9660457900275379,0.3115942028985507,0.7678571428571429,0.443298969072165,0.515695067264574,129,285,39,216
0.9658780237202357,0.31234866828087166,0.7678571428571429,0.44406196213425125,0.5171898355754857,129,284,39,217
0.9616072357889579,0.3131067961165049,0.7678571428571429,0.4448275862068966,0.5186846038863976,129,283,39,218
0.9568571764483459,0.31143552311435524,0.7619047619047619,0.4421416234887737,0.5171898355754859,128,283,40,218
0.9568225942435878,0.3121951219512195,0.7619047619047619,0.4429065743944637,0.5186846038863976,128,282,40,219
0.9542423788949077,0.31295843520782396,0.7619047619047619,0.4436741767764298,0.5201793721973094,128,281,40,220
0.9469736306054378,0.3137254901960784,0.7619047619047619,0.4444444444444444,0.5216741405082213,128,280,40,221
0.9450059047975873,0.3144963144963145,0.7619047619047619,0.44521739130434784,0.5231689088191329,128,279,40,222
0.9447318164069124,0.312807881773399,0.7559523809523809,0.44250871080139376,0.5216741405082213,127,279,41,222
0.9397082994983065,0.3111111111111111,0.75,0.4397905759162304,0.5201793721973094,126,279,42,222
